   T,   T,28323870190,100000
***L,**07,  115679071,   860
***L,0101,  449349923,   495
***L,0102,  100964381,   400
***L,**02,    7775577,    80
***L,0301,   36429192,   162
***L,0302,    1359378,    11
***L,0303,  103111559,   458
***L,**04,     238026,     6
***L,**05,    8988123,    39
***L,**06,    8921714,    60
***L,0701,   47694489,   298
***L,0702,   67984582,   562
***M,   T, 1361730213,  6266
***M,**01,  108820494,   692
***M,**03,  350973927,   990
***M,**07,  309810607,  1467
***M,0101,   42818995,   317
***M,0102,   66001499,   375
***M,**02,   65741638,   397
***M,0301,   46331069,   175
***M,0302,  217570874,   421
***M,0303,   87071984,   394
***M,**04,  286829462,  1396
***M,**05,  166090752,   881
***M,**06,   73463333,   443
***M,0701,   60824953,   126
***M,0702,  248985654,  1341
***N,   T, 1553278837,  5389
***N,**01,  306184873,  1249
***N,**03,  685408292,  2072
***N,**07,  116486750,   416
***N,0101,  208222939,   887
***N,0102,   97961934,   362
***N,**02,  100736747,   505
***N,0301,   86580257,   416
***N,0302,  381155083,   710
***N,0303,  217672952,   946
***N,**04,   53209066,   235
***N,**05,  175472803,   500
***N,**06,  115780306,   412
***N,0701,   40255692,   267
***N,0702,   76231058,   149
***P,   T, 1528563497,  6202
***P,**01,  344705120,  1323
***P,**03,  519464445,  2232
***P,**07,  264677737,  1014
***P,0101,   11648909,    64
***P,0102,  333056211,  1259
***P,**02,  107751422,   432
***P,0301,  149674690,   779
***P,0302,    3101886,    27
***P,0303,  366687869,  1426
***P,**04,   62597739,   314
***P,**05,    5677515,    43
***P,**06,  223689519,   844
***P,0701,  157036739,   446
***P,0702,  107640998,   568
***Q,   T,  732244628,  2584
***Q,**01,   39057791,   260
***Q,**03,  445306234,  1139
***Q,**07,   45678214,    91
***Q,0101,   31794301,   212
***Q,0102,    7263490,    48
***Q,**02,  182723179,   974
***Q,0301,  154613297,   222
***Q,0302,   33921370,   103
***Q,0303,  256771567,   814
***Q,**04,   14340798,    74
***Q,**05,     477943,     4
***Q,**06,    4660469,    42
***Q,0701,   45250423,    82
***Q,0702,     427791,     9
***R,   T,  991501712,  2911
***R,**01,  319551844,   512
***R,**03,   93225229,   482
***R,**07,  100616098,   377
***R,0101,  277933116,   300
***R,0102,   41618728,   212
***R,**02,    5243281,    13
***R,0301,   29084511,   157
***R,0302,    5265097,    32
***R,0303,   58875621,   293
***R,**04,  263064546,   734
***R,**05,  174441888,   715
***R,**06,   35358826,    78
***R,0701,  100138269,   372
***R,0702,     477829,     5
***S,   T,  916066229,  2951
***S,**01,  126665270,   493
***S,**03,  340514068,  1175
***S,**07,   37831314,   205
***S,0101,   77380894,   275
***S,0102,   49284376,   218
***S,**02,   89552082,   382
***S,0301,  239870672,   582
***S,0302,   60040817,   359
***S,0303,   40602579,   234
***S,**04,   45648572,   132
***S,**05,  270635674,   542
***S,**06,    5219249,    22
***S,0701,   34438815,   176
***S,0702,    3392499,    29
*A01,   T,  269897060,  1072
*A01,**01,    5292076,    17
*A01,**03,  104635583,   363
*A01,**07,    5345258,    28
*A01,0101,    1712049,     2
*A01,0102,    3580027,    15
*A01,**02,  143741770,   632
*A01,0301,  104392117,   361
*A01,0302,      27331,     1
*A01,0303,     216135,     1
*A01,**04,   10700159,    29
*A01,**05,      39556,     2
*A01,**06,     142658,     1
*A01,0701,    1164107,    10
*A01,0702,    4181151,    18
*A02,   T,  229110186,  1100
*A02,**01,   17462874,   127
*A02,**03,   60035592,   320
*A02,**07,   48823351,   252
*A02,0101,   15415834,   109
*A02,0102,    2047040,    18
*A02,**02,  102513300,   391
*A02,0301,    2698548,    30
*A02,0302,     198401,     2
*A02,0303,   57138643,   288
*A02,**04,      14306,     1
*A02,**05,      71430,     1
*A02,**06,     189333,     8
*A02,0701,   47164124,   238
*A02,0702,    1659227,    14
*A03,   T,  216355398,   790
*A03,**01,     321767,     8
*A03,**03,    4600958,    41
*A03,**07,  124777694,   326
*A03,0101,     139087,     4
*A03,0102,     182680,     4
*A03,**02,   85164513,   394
*A03,0301,    3883170,    30
*A03,0302,      84338,     1
*A03,0303,     633450,    10
*A03,**04,     753077,     7
*A03,**05,     339745,     8
*A03,**06,     397644,     6
*A03,0701,    1013048,    12
*A03,0702,  123764646,   314
*B05,   T,  173690490,   590
*B05,**01,   30864090,    78
*B05,**03,   24602834,    83
*B05,**07,   58081082,    75
*B05,0101,    1048962,    11
*B05,0102,   29815128,    67
*B05,**02,    1672845,     3
*B05,0301,     726416,     8
*B05,0302,    9585627,    72
*B05,0303,   14290791,     3
*B05,**04,   19354568,   139
*B05,**05,      81805,     1
*B05,**06,   39033266,   211
*B05,0701,   48525594,     6
*B05,0702,    9555488,    69
*B06,   T,  376768985,  1734
*B06,**01,      77042,     2
*B06,**03,  286549701,  1099
*B06,**07,   71743596,   479
*B06,0101,       7993,     1
*B06,0102,      69049,     1
*B06,**02,      34898,     1
*B06,0301,   87802358,   457
*B06,0302,   60850311,    17
*B06,0303,  137897032,   625
*B06,**04,     580642,    10
*B06,**05,    5077134,    41
*B06,**06,   12705972,   102
*B06,0701,      16289,     1
*B06,0702,   71727307,   478
*B07,   T,  606950588,  1950
*B07,**01,  336401422,   593
*B07,**03,   47632918,   272
*B07,**07,   37220744,   218
*B07,0101,  126508942,   357
*B07,0102,  209892480,   236
*B07,**02,    9767344,    80
*B07,0301,   41041791,   221
*B07,0302,     152117,     2
*B07,0303,    6439010,    49
*B07,**04,      99799,     1
*B07,**05,  134527526,   641
*B07,**06,   41300835,   145
*B07,0701,    1101503,    14
*B07,0702,   36119241,   204
*B08,   T,  118315581,   697
*B08,**01,   26856048,   137
*B08,**03,   32876062,   223
*B08,**07,   31463481,   176
*B08,0101,    7679907,    66
*B08,0102,   19176141,    71
*B08,**02,     606064,     4
*B08,0301,    6774688,    26
*B08,0302,   25937009,   196
*B08,0303,     164365,     1
*B08,**04,   11413226,    70
*B08,**05,   11675380,    45
*B08,**06,    3425320,    42
*B08,0701,     267080,     2
*B08,0702,   31196401,   174
*B09,   T,  276784533,  1266
*B09,**01,    2446166,    28
*B09,**03,   37758359,    17
*B09,**07,  151970060,   768
*B09,0101,    1193313,    17
*B09,0102,    1252853,    11
*B09,**02,    2639903,    23
*B09,0301,     585536,     3
*B09,0302,    2172126,    10
*B09,0303,   35000697,     4
*B09,**04,   42801311,   251
*B09,**05,   30345563,   133
*B09,**06,    8823171,    46
*B09,0701,   93666276,   387
*B09,0702,   58303784,   381
*C10,   T,  264449561,   859
*C10,**01,   36207128,   128
*C10,**03,     899330,    18
*C10,**07,   11273583,    48
*C10,0101,      75128,     4
*C10,0102,   36132000,   124
*C10,**02,    2626339,     7
*C10,0301,      79536,     4
*C10,0302,      23968,     1
*C10,0303,     795826,    13
*C10,**04,   96331920,   496
*C10,**05,    3686143,    14
*C10,**06,  113425118,   148
*C10,0701,    2459023,    26
*C10,0702,    8814560,    22
*C11,   T,  981181036,  2117
*C11,**01,  472134330,   704
*C11,**03,   71550788,   335
*C11,**07,  345440265,   627
*C11,0101,  453949852,   609
*C11,0102,   18184478,    95
*C11,**02,     296325,     1
*C11,0301,    4279370,    20
*C11,0302,   67268834,   314
*C11,0303,       2584,     1
*C11,**04,   36208934,   193
*C11,**05,   44043000,   234
*C11,**06,   11507394,    23
*C11,0701,    1170876,    16
*C11,0702,  344269389,   611
*C12,   T,  163317921,   564
*C12,**01,   17942005,    36
*C12,**03,   42274789,   157
*C12,**07,   81880274,   272
*C12,0101,    2749294,    28
*C12,0102,   15192711,     8
*C12,**02,     118277,     3
*C12,0301,   29296464,   145
*C12,0302,       9532,     1
*C12,0303,   12968793,    11
*C12,**04,      37405,     1
*C12,**05,    5772470,    22
*C12,**06,   15292701,    73
*C12,0701,   76250846,   254
*C12,0702,    5629428,    18
*C13,   T,  164311594,   558
*C13,**01,   29110961,   173
*C13,**03,    4540048,    11
*C13,**07,    2178788,    34
*C13,0101,    3650576,    32
*C13,0102,   25460385,   141
*C13,**02,   29138578,   166
*C13,0301,     939270,     9
*C13,0302,    2738690,     1
*C13,0303,     862088,     1
*C13,**04,      29711,     1
*C13,**05,   78428977,    55
*C13,**06,   20884531,   118
*C13,0701,    1739077,    26
*C13,0702,     439711,     8
*C14,   T,   29581806,   219
*C14,**01,    8957874,    76
*C14,**03,    2136508,    26
*C14,**07,     108074,     2
*C14,0101,    8946553,    75
*C14,0102,      11321,     1
*C14,**02,    2915322,    38
*C14,0301,        237,     1
*C14,0302,      54061,     1
*C14,0303,    2082210,    24
*C14,**04,     357752,     2
*C14,**05,     714624,     2
*C14,**06,   14391652,    73
*C14,0701,       2998,     1
*C14,0702,     105076,     1
*C15,   T,  239864155,  1024
*C15,**01,   42752590,   149
*C15,**03,   47294950,   170
*C15,**07,   20506525,    71
*C15,0101,   42069596,   143
*C15,0102,     682994,     6
*C15,**02,   90424195,   562
*C15,0301,     332618,     1
*C15,0302,   44664431,   142
*C15,0303,    2297901,    27
*C15,**04,    2760411,    18
*C15,**05,   35046302,    50
*C15,**06,    1079182,     4
*C15,0701,    3360834,    18
*C15,0702,   17145691,    53
*C16,   T,  271667211,   848
*C16,**01,   46940549,    30
*C16,**03,  175937914,   586
*C16,**07,    4711327,    26
*C16,0101,      23135,     1
*C16,0102,   46917414,    29
*C16,**02,     147792,     2
*C16,0301,   10559890,    79
*C16,0302,     489036,     3
*C16,0303,  164888988,   504
*C16,**04,     288111,     1
*C16,**05,   43391412,   199
*C16,**06,     250106,     4
*C16,0701,    2556147,     9
*C16,0702,    2155180,    17
*C17,   T,  212343441,  1114
*C17,**01,  119484974,   690
*C17,**03,    7713168,    54
*C17,**07,   83257526,   350
*C17,0101,   79796566,   420
*C17,0102,   39688408,   270
*C17,**02,     375145,     3
*C17,0301,     159080,     3
*C17,0302,    4830787,    37
*C17,0303,    2723301,    14
*C17,**04,     512066,     8
*C17,**05,     984261,     8
*C17,**06,      16301,     1
*C17,0701,   82743006,   348
*C17,0702,     514520,     2
*C18,   T,  804008473,  2499
*C18,**01,     575067,     7
*C18,**03,  241916053,   714
*C18,**07,   10063251,    62
*C18,0101,       2352,     1
*C18,0102,     572715,     6
*C18,**02,  195902133,   349
*C18,0301,   75211135,   117
*C18,0302,      22007,     1
*C18,0303,  166682911,   596
*C18,**04,  248876228,   644
*C18,**05,   75440407,   503
*C18,**06,   31235334,   220
*C18,0701,    6535578,    53
*C18,0702,    3527673,     9
*C19,   T,  348020205,  1561
*C19,**01,    9555674,   100
*C19,**03,  105442676,   562
*C19,**07,  187582781,   605
*C19,0101,     211364,     3
*C19,0102,    9344310,    97
*C19,**02,   11723574,    82
*C19,0301,    9820243,    39
*C19,0302,   95542114,   521
*C19,0303,      80319,     2
*C19,**04,   23925545,   110
*C19,**05,    4764237,    64
*C19,**06,    5025718,    38
*C19,0701,    4900272,    51
*C19,0702,  182682509,   554
*C20,   T,   57772475,   348
*C20,**01,   10474246,    34
*C20,**03,    5965598,    45
*C20,**07,   14171983,    69
*C20,0101,    2388297,     6
*C20,0102,    8085949,    28
*C20,**02,      56284,     2
*C20,0301,      68871,     1
*C20,0302,    1232722,     9
*C20,0303,    4664005,    35
*C20,**04,    3808223,    21
*C20,**05,   20542237,   171
*C20,**06,    2753904,     6
*C20,0701,   14160306,    68
*C20,0702,      11677,     1
*C21,   T,  406272727,  1155
*C21,**01,  114825885,   335
*C21,**03,   64334148,   202
*C21,**07,   27034927,   140
*C21,0101,  114571762,   333
*C21,0102,     254123,     2
*C21,**02,   14299248,    73
*C21,0301,   26434654,   131
*C21,0302,   35921208,    65
*C21,0303,    1978286,     6
*C21,**04,    9879280,    61
*C21,**05,   19632348,   114
*C21,**06,  156266891,   230
*C21,0701,   26593716,   138
*C21,0702,     441211,     2
*C22,   T,  364160323,  1237
*C22,**01,   26333175,   154
*C22,**03,   36986705,   228
*C22,**07,   39898020,   223
*C22,0101,   26229859,   152
*C22,0102,     103316,     2
*C22,**02,     576068,     2
*C22,0301,   13903333,   115
*C22,0302,   15303892,    68
*C22,0303,    7779480,    45
*C22,**04,      52076,     2
*C22,**05,     262513,     5
*C22,**06,  260051766,   623
*C22,0701,   39247475,   218
*C22,0702,     650545,     5
*C23,   T,  341489493,  1468
*C23,**01,   20581701,    43
*C23,**03,  141485603,   531
*C23,**07,   23591175,   144
*C23,0101,      68813,     3
*C23,0102,   20512888,    40
*C23,**02,     135298,     3
*C23,0301,     844760,     6
*C23,0302,  140594739,   523
*C23,0303,      46104,     2
*C23,**04,   12096460,    60
*C23,**05,   91227566,   509
*C23,**06,   52371690,   178
*C23,0701,    1296058,     8
*C23,0702,   22295117,   136
*C24,   T,  418892120,  1304
*C24,**01,   38176615,   161
*C24,**03,  213695630,   702
*C24,**07,   11853485,    33
*C24,0101,    1798399,    33
*C24,0102,   36378216,   128
*C24,**02,     390786,     3
*C24,0301,   42971351,   222
*C24,0302,   75118713,   471
*C24,0303,   95605566,     9
*C24,**04,  154600109,   401
*C24,**05,     131649,     3
*C24,**06,      43846,     1
*C24,0701,    2563179,    18
*C24,0702,    9290306,    15
*C25,   T,   44377115,   299
*C25,**01,   22501979,   154
*C25,**03,    1452352,    16
*C25,**07,   18248972,   102
*C25,0101,      46123,     1
*C25,0102,   22455856,   153
*C25,**02,     130446,     1
*C25,0301,      97747,     1
*C25,0302,     263422,     3
*C25,0303,    1091183,    12
*C25,**04,    1561681,    17
*C25,**05,     246614,     7
*C25,**06,     235071,     2
*C25,0701,     116760,     5
*C25,0702,   18132212,    97
*C26,   T,  114047214,   466
*C26,**01,     711387,     9
*C26,**03,   97333269,   362
*C26,**07,   14960349,    79
*C26,0101,     531474,     7
*C26,0102,     179913,     2
*C26,**02,      86466,     2
*C26,0301,   28461590,   178
*C26,0302,    9315405,    33
*C26,0303,   59556274,   151
*C26,**04,     394367,     8
*C26,**05,      57014,     1
*C26,**06,     504362,     5
*C26,0701,   12998190,    77
*C26,0702,    1962159,     2
*C27,   T,  179224652,   703
*C27,**01,  126392205,   417
*C27,**03,   35342204,   161
*C27,**07,    3591768,    13
*C27,0101,  100604949,   394
*C27,0102,   25787256,    23
*C27,**02,    5700845,    41
*C27,0301,       4006,     1
*C27,0302,   35243918,   157
*C27,0303,      94280,     3
*C27,**04,     147413,     1
*C27,**05,    7922389,    68
*C27,**06,     127828,     2
*C27,0701,     318152,     1
*C27,0702,    3273616,    12
*C28,   T,  380678946,  1753
*C28,**01,  135141224,   479
*C28,**03,  137416402,   661
*C28,**07,   63375105,   380
*C28,0101,  124735310,   435
*C28,0102,   10405914,    44
*C28,**02,    1475880,     5
*C28,0301,    4992946,    27
*C28,0302,    2458323,    14
*C28,0303,  129965133,   620
*C28,**04,     482556,     8
*C28,**05,   24780590,   127
*C28,**06,   18007189,    93
*C28,0701,     293314,     6
*C28,0702,   63081791,   374
*C29,   T,  368908064,  1540
*C29,**01,   14545601,    92
*C29,**03,  145850910,   456
*C29,**07,    8339409,    86
*C29,0101,    7556440,    41
*C29,0102,    6989161,    51
*C29,**02,    5783292,    31
*C29,0301,     191783,     4
*C29,0302,  128429355,   390
*C29,0303,   17229772,    62
*C29,**04,   28758092,   163
*C29,**05,    1078728,     6
*C29,**06,  164552032,   706
*C29,0701,    8267784,    82
*C29,0702,      71625,     4
*C30,   T,   92576019,   337
*C30,**01,      42834,     2
*C30,**03,   78269598,   255
*C30,**07,    2409625,    26
*C30,0101,      37103,     1
*C30,0102,       5731,     1
*C30,**02,     981613,     3
*C30,0301,   34686741,   226
*C30,0302,   36331855,    15
*C30,0303,    7251002,    14
*C30,**04,    9711576,    31
*C30,**05,    1002760,    19
*C30,**06,     158013,     1
*C30,0701,    2398920,    25
*C30,0702,      10705,     1
*C31,   T,  237322914,   981
*C31,**01,  136197500,   341
*C31,**03,   20518925,    68
*C31,**07,   77365905,   542
*C31,0101,   41528816,    53
*C31,0102,   94668684,   288
*C31,**02,    2247120,    16
*C31,0301,    2961161,     1
*C31,0302,    1530120,     8
*C31,0303,   16027644,    59
*C31,**04,      25293,     1
*C31,**05,      55470,     2
*C31,**06,     912701,    11
*C31,0701,      58456,     2
*C31,0702,   77307449,   540
*C32,   T,  546764235,  1747
*C32,**01,   85909998,   227
*C32,**03,  100704466,   332
*C32,**07,   14029246,    79
*C32,0101,      64386,     1
*C32,0102,   85845612,   226
*C32,**02,     137426,     7
*C32,0301,     415511,     5
*C32,0302,   23576048,   164
*C32,0303,   76712907,   163
*C32,**04,  101855906,   493
*C32,**05,  240922853,   570
*C32,**06,    3204340,    39
*C32,0701,    9495923,    60
*C32,0702,    4533323,    19
*C33,   T,  368343006,  1779
*C33,**01,   78372014,   408
*C33,**03,   35205786,   275
*C33,**07,   68142660,   427
*C33,0101,   74108659,   378
*C33,0102,    4263355,    30
*C33,**02,      88689,     2
*C33,0301,   23978911,   209
*C33,0302,    4195074,    14
*C33,0303,    7031801,    52
*C33,**04,  172847027,   594
*C33,**05,   12720926,    65
*C33,**06,     965904,     8
*C33,0701,     911440,    14
*C33,0702,   67231220,   413
D351,   T,  170683800,  1004
D351,**01,   52242991,   325
D351,**03,    1054559,    12
D351,**07,   49612382,   350
D351,0101,    6275557,    62
D351,0102,   45967434,   263
D351,**02,   66122997,   301
D351,0301,     140404,     2
D351,0302,     205152,     1
D351,0303,     709003,     9
D351,**04,    1481276,    13
D351,**05,      78652,     2
D351,**06,      90943,     1
D351,0701,   44508888,   332
D351,0702,    5103494,    18
D352,   T,  937890204,  1939
D352,**01,    2387679,    26
D352,**03,   19172247,    66
D352,**07,  728360588,   787
D352,0101,    1155719,    10
D352,0102,    1231960,    16
D352,**02,   99862572,   513
D352,0301,    6373786,    25
D352,0302,     840915,     3
D352,0303,   11957546,    38
D352,**04,   61415172,   322
D352,**05,    5678238,    49
D352,**06,   21013708,   176
D352,0701,  627173798,   217
D352,0702,  101186790,   570
D353,   T,   87041203,   581
D353,**01,    2112184,     2
D353,**03,   11257734,    89
D353,**07,   56960378,   329
D353,0101,      22085,     1
D353,0102,    2090099,     1
D353,**02,    7176136,    58
D353,0301,    2787371,    19
D353,0302,    8310755,    69
D353,0303,     159608,     1
D353,**04,    7516869,    75
D353,**05,     512012,     9
D353,**06,    1505890,    19
D353,0701,      60328,     3
D353,0702,   56900050,   326
*E36,   T,  270100627,  1067
*E36,**01,  208627355,   907
*E36,**03,   51876692,   110
*E36,**07,    5764267,    23
*E36,0101,  141051963,   575
*E36,0102,   67575392,   332
*E36,**02,       1524,     1
*E36,0301,   18759661,     8
*E36,0302,     143661,     1
*E36,0303,   32973370,   101
*E36,**04,    2695734,    19
*E36,**05,     375526,     6
*E36,**06,     759529,     1
*E36,0701,    5584112,    22
*E36,0702,     180155,     1
*E37,   T,  219936840,   871
*E37,**01,   11720572,    59
*E37,**03,   80059943,   270
*E37,**07,    9461219,    13
*E37,0101,    5226340,    40
*E37,0102,    6494232,    19
*E37,**02,   24730380,   141
*E37,0301,      26791,     1
*E37,0302,      62259,     3
*E37,0303,   79970893,   266
*E37,**04,     111341,     1
*E37,**05,   81244693,   381
*E37,**06,   12608692,     6
*E37,0701,     122907,     1
*E37,0702,    9338312,    12
*E38,   T,  320677677,  1433
*E38,**01,    1007172,    15
*E38,**03,  202271190,   760
*E38,**07,  106376034,   576
*E38,0101,     180480,     3
*E38,0102,     826692,    12
*E38,**02,    3590543,    23
*E38,0301,  158688401,   581
*E38,0302,   31248953,    65
*E38,0303,   12333836,   114
*E38,**04,    2658268,    19
*E38,**05,    4773154,    39
*E38,**06,       1316,     1
*E38,0701,   95291515,   479
*E38,0702,   11084519,    97
*E39,   T,  339718009,  1486
*E39,**01,    7879886,    73
*E39,**03,  134282933,   549
*E39,**07,  129986593,   522
*E39,0101,    5590390,    43
*E39,0102,    2289496,    30
*E39,**02,    4531607,     4
*E39,0301,  110946795,   491
*E39,0302,    7635050,    41
*E39,0303,   15701088,    17
*E39,**04,    4709137,    53
*E39,**05,   38065941,   205
*E39,**06,   20261912,    80
*E39,0701,  129475315,   515
*E39,0702,     511278,     7
*F41,   T,  489956827,  2092
*F41,**01,    9980839,    80
*F41,**03,   36614736,   213
*F41,**07,  134840554,   682
*F41,0101,     893142,     9
*F41,0102,    9087697,    71
*F41,**02,   97064064,   235
*F41,0301,   33301411,   200
*F41,0302,    3265219,    11
*F41,0303,      48106,     2
*F41,**04,   55659564,   279
*F41,**05,  127483354,   547
*F41,**06,   28313716,    56
*F41,0701,   13347083,    59
*F41,0702,  121493471,   623
*F42,   T,  278922914,  1390
*F42,**01,   36659721,   215
*F42,**03,  107428341,   499
*F42,**07,     514375,     8
*F42,0101,    3300482,     1
*F42,0102,   33359239,   214
*F42,**02,   53242439,   250
*F42,0301,   51015442,   143
*F42,0302,      76455,     1
*F42,0303,   56336444,   355
*F42,**04,   23000898,   113
*F42,**05,   14387756,    81
*F42,**06,   43689384,   224
*F42,0701,     199526,     3
*F42,0702,     314849,     5
*F43,   T,  336836526,  1305
*F43,**01,   56668119,   198
*F43,**03,     610083,    11
*F43,**07,  143930246,   560
*F43,0101,   56664320,   197
*F43,0102,       3799,     1
*F43,**02,   18775207,    78
*F43,0301,     127079,     2
*F43,0302,      67050,     4
*F43,0303,     415954,     5
*F43,**04,  101695351,   366
*F43,**05,   14543931,    89
*F43,**06,     613589,     3
*F43,0701,    4703024,     4
*F43,0702,  139227222,   556
*G45,   T,  219187444,   901
*G45,**01,    4169678,    41
*G45,**03,   21045005,   201
*G45,**07,   18520401,    82
*G45,0101,    4167947,    40
*G45,0102,       1731,     1
*G45,**02,     136367,     2
*G45,0301,      46696,     1
*G45,0302,   20952437,   199
*G45,0303,      45872,     1
*G45,**04,  172740577,   555
*G45,**05,    2432339,    17
*G45,**06,     143077,     3
*G45,0701,   17384435,    70
*G45,0702,    1135966,    12
*G46,   T,  366313798,  1500
*G46,**01,    6687244,    30
*G46,**03,  157556563,   462
*G46,**07,  114242704,   746
*G46,0101,     119520,     3
*G46,0102,    6567724,    27
*G46,**02,   57730851,   173
*G46,0301,     843366,     5
*G46,0302,   13973952,    70
*G46,0303,  142739245,   387
*G46,**04,   27379677,    62
*G46,**05,    2613344,    26
*G46,**06,     103415,     1
*G46,0701,   29808917,   260
*G46,0702,   84433787,   486
*G47,   T,  262732531,   877
*G47,**01,  160576959,   346
*G47,**03,   49702284,   209
*G47,**07,    2316123,    24
*G47,0101,  145261680,   291
*G47,0102,   15315279,    55
*G47,**02,    2248338,    15
*G47,0301,   39358739,   145
*G47,0302,   10334922,    63
*G47,0303,       8623,     1
*G47,**04,   34912832,   235
